
0.0625	           0	
0.1875	     0.70821	
0.3125	     20.3838	
0.4375	     54.3075	
0.5625	     64.1367	
0.6875	     144.246	
0.8125	     97.0491	
0.9375	     128.742	
 1.062	     287.053	
 1.188	     422.771	
 1.312	      516.97	
 1.438	     527.175	
 1.562	       508.3	
 1.688	     512.278	
 1.812	     505.675	
 1.938	     465.603	
 2.062	     446.948	
 2.188	      449.99	
 2.312	      420.35	
 2.438	     411.045	
 2.562	     433.918	
 2.688	     454.536	
 2.812	     468.881	
 2.938	     483.253	
 3.062	     498.484	
 3.188	     506.477	
 3.312	     501.975	
 3.438	     492.987	
 3.562	     472.306	
 3.688	     443.294	
 3.812	     408.556	
 3.938	     381.204	
 4.062	     346.812	
 4.188	     306.996	
 4.312	     257.634	
 4.438	     211.479	
 4.562	     169.526	
 4.688	     134.591	
 4.812	      107.28	
 4.938	       85.72	
 5.062	     71.1683	
 5.188	     61.2503	
 5.312	      55.835	
 5.438	     51.9575	
 5.562	     49.8579	
 5.688	     47.4477	
 5.812	     44.7773	
 5.938	      43.586	
 6.062	     43.9391	
 6.188	     43.2833	
 6.312	     41.9812	
 6.438	     41.2238	
 6.562	      41.054	
 6.688	     40.9271	
 6.812	     40.7698	
 6.938	     40.4664	
 7.062	     40.0112	
 7.188	     40.0399	
 7.312	     40.5189	
 7.438	     40.1355	
 7.562	     38.9257	
 7.688	     38.4701	
 7.812	     38.8166	
 7.938	     38.7096	
 8.062	     38.5116	
 8.188	     39.0633	
 8.312	     40.3784	
 8.438	     41.1071	
 8.562	     41.2005	
 8.688	     41.4016	
 8.812	     41.4354	
 8.938	     41.0295	
 9.062	     40.2659	
 9.188	      40.351	
 9.312	     41.3259	
 9.438	     41.9778	
 9.562	     42.2899	
 9.688	     42.3933	
 9.812	     42.3903	
 9.938	     41.8435	
  10.5	     319.888	
  11.5	     324.239	
  12.5	     311.153	
  13.5	     300.813	
  14.5	     281.602	
  15.5	     284.688	
  16.5	     232.178	
  17.5	     206.009	
  18.5	     157.056	
  19.5	     127.034	
    25	     941.961	
    35	      377.53	
    45	     210.847	
    55	     117.577	
    65	     47.9997	
    75	      18.192	
    85	           0	
    95	           0	
   105	           0	
----------------------
Total:	     19140.5	
