1.22  -23  10.0332
1.24  -23  10.2058
1.26  -23  10.3787
1.28  -23  10.5518
1.3  -23  10.7252
1.32  -23  10.8989
1.34  -23  11.0728
1.36  -23  11.247
1.38  -23  11.4215
1.4  -23  11.5962
1.42  -23  11.7712
1.44  -23  11.9465
1.46  -23  12.122
1.48  -23  12.2978
1.5  -23  12.4739
1.52  -23  12.6502
1.54  -23  12.8268
1.56  -23  13.0037
1.58  -23  13.1808
1.6  -23  13.3582
1.62  -23  13.5359
1.64  -23  13.7138
1.66  -23  13.892
1.68  -23  14.0705
1.7  -23  14.2493
1.72  -23  14.4283
1.74  -23  14.6076
1.76  -23  14.7871
1.78  -23  14.967
1.8  -23  15.1471
1.82  -23  15.3274
1.84  -23  15.5081
1.86  -23  10.0802
1.86  -23  15.689
1.88  -23  10.1961
1.88  -23  15.8702
1.9  -23  10.3122
1.9  -23  16.0516
1.92  -23  10.4284
1.92  -23  16.2333
1.94  -23  10.5448
1.94  -23  16.4153
1.96  -23  10.6614
1.96  -23  16.5976
1.98  -23  10.7781
1.98  -23  16.7801
2  -23  10.895
2  -23  16.9629
2.02  -23  11.0121
2.02  -23  17.146
2.04  -23  11.1293
2.04  -23  17.3294
2.06  -23  11.2467
2.06  -23  17.513
2.08  -23  11.3643
2.08  -23  17.6969
2.1  -23  11.482
2.1  -23  17.881
2.12  -23  11.5999
2.12  -23  18.0655
2.14  -23  11.7179
2.14  -23  18.2502
2.16  -23  11.8361
2.16  -23  18.4352
2.18  -23  11.9545
2.18  -23  18.6204
2.2  -23  12.073
2.2  -23  18.806
2.22  -23  12.1917
2.22  -23  18.9918
2.24  -23  12.3105
2.24  -23  19.1779
2.26  -23  12.4295
2.26  -23  19.3642
2.28  -23  12.5487
2.28  -23  19.5508
2.3  -23  12.6681
2.3  -23  19.7377
2.32  -23  12.7876
2.32  -23  19.9249
2.34  -23  12.9072
2.34  -23  20.1123
2.36  -23  13.0271
2.36  -23  20.3001
2.38  -23  13.1471
2.38  -23  20.4881
2.4  -23  13.2672
2.4  -23  20.6763
2.42  -23  13.3875
2.42  -23  20.8649
2.44  -23  13.508
2.44  -23  21.0537
2.46  -23  13.6287
2.46  -23  21.2428
2.48  -23  13.7495
2.48  -23  21.4322
2.5  -23  13.8705
2.5  -23  21.6218
2.52  -23  13.9916
2.52  -23  21.8117
2.54  -23  14.1129
2.54  -23  22.0019
2.56  -23  14.2344
2.56  -23  22.1924
2.58  -23  14.356
2.58  -23  22.3832
2.6  -23  14.4778
2.6  -23  22.5742
2.62  -23  14.5998
2.62  -23  22.7655
2.64  -23  14.7219
2.64  -23  22.9571
