1.8  -22  -10.0069
1.82  -22  -10.1814
1.84  -22  -10.3572
1.86  -22  -10.5344
1.88  -22  -10.7128
1.9  -22  -10.8926
1.92  -22  -11.0736
1.94  -22  -11.256
1.96  -22  -11.4396
1.98  -22  -11.6245
2  -22  -11.8106
2.02  -22  -11.998
2.04  -22  -12.1867
2.06  -22  -12.3765
2.08  -22  -12.5677
2.1  -22  -12.76
2.12  -22  -12.9536
2.12  -22  -10.0353
2.14  -22  -13.1483
2.14  -22  -10.2062
2.16  -22  -13.3443
2.16  -22  -10.3784
2.18  -22  -13.5415
2.18  -22  -10.552
2.2  -22  -13.7398
2.2  -22  -10.7269
2.22  -22  -13.9393
2.22  -22  -10.9031
2.24  -22  -14.14
2.24  -22  -11.0806
2.26  -22  -14.3418
2.26  -22  -11.2593
2.28  -22  -14.5448
2.28  -22  -11.4394
2.3  -22  -14.7489
2.3  -22  -11.6208
2.32  -22  -14.9541
2.32  -22  -11.8034
2.34  -22  -15.1605
2.34  -22  -11.9873
2.36  -22  -15.3679
2.36  -22  -12.1725
2.38  -22  -10.0448
2.38  -22  -15.5765
2.38  -22  -12.3589
2.4  -22  -10.2107
2.4  -22  -15.7861
2.4  -22  -12.5466
2.42  -22  -10.3777
2.42  -22  -15.9968
2.42  -22  -12.7354
2.44  -22  -10.5459
2.44  -22  -16.2086
2.44  -22  -12.9255
2.46  -22  -10.7154
2.46  -22  -16.4214
2.46  -22  -13.1168
2.48  -22  -10.886
2.48  -22  -16.6352
2.48  -22  -13.3093
2.5  -22  -11.0578
2.5  -22  -16.8501
2.5  -22  -13.503
2.52  -22  -11.2308
2.52  -22  -17.066
2.52  -22  -13.6979
2.52  -22  -10.0446
2.54  -22  -11.405
2.54  -22  -17.2829
2.54  -22  -13.894
2.54  -22  -10.2197
2.56  -22  -11.5803
2.56  -22  -17.5008
2.56  -22  -14.0912
2.56  -22  -10.3962
2.58  -22  -11.7568
2.58  -22  -17.7197
2.58  -22  -14.2895
2.58  -22  -10.5741
2.6  -22  -11.9345
2.6  -22  -17.9396
2.6  -22  -14.489
2.6  -22  -10.7533
2.62  -22  -12.1133
2.62  -22  -18.1604
2.62  -22  -14.6896
2.62  -22  -10.9339
2.64  -22  -12.2932
2.64  -22  -18.3822
2.64  -22  -14.8914
2.64  -22  -11.1159
2.66  -22  -12.4743
2.66  -22  -18.6049
2.66  -22  -15.0942
2.66  -22  -11.2993
2.68  -22  -12.6564
2.68  -22  -18.8285
2.68  -22  -15.2982
2.68  -22  -11.4839
2.7  -22  -12.8397
2.7  -22  -19.0531
2.7  -22  -15.5032
2.7  -22  -11.6699
2.72  -22  -13.0242
2.72  -22  -19.2785
2.72  -22  -15.7093
2.72  -22  -11.8573
2.74  -22  -13.2097
2.74  -22  -19.5048
2.74  -22  -15.9165
2.74  -22  -12.0459
2.76  -22  -13.3963
2.76  -22  -19.732
2.76  -22  -16.1247
2.76  -22  -12.2359
2.78  -22  -13.5839
2.78  -22  -19.9601
2.78  -22  -16.3339
