
0.0625	           0	
0.1875	     1.25573	
0.3125	     1.17665	
0.4375	     2.81511	
0.5625	     39.9836	
0.6875	     19.5636	
0.8125	     121.481	
0.9375	     131.547	
 1.062	     70.9167	
 1.188	     14.5052	
 1.312	      1.8024	
 1.438	     31.4257	
 1.562	     85.9089	
 1.688	     148.214	
 1.812	     221.162	
 1.938	     282.899	
 2.062	     338.982	
 2.188	     389.843	
 2.312	     393.036	
 2.438	     400.435	
 2.562	     436.457	
 2.688	     464.563	
 2.812	     484.131	
 2.938	     478.868	
 3.062	     445.198	
 3.188	     408.911	
 3.312	     383.006	
 3.438	     354.331	
 3.562	     323.373	
 3.688	     290.232	
 3.812	     255.178	
 3.938	     218.598	
 4.062	     182.901	
 4.188	     149.553	
 4.312	      118.39	
 4.438	     91.8003	
 4.562	      69.617	
 4.688	     52.0521	
 4.812	     39.1057	
 4.938	     29.4951	
 5.062	     23.1389	
 5.188	     18.8296	
 5.312	     16.2531	
 5.438	     14.3406	
 5.562	     13.0557	
 5.688	     11.7942	
 5.812	     10.5789	
 5.938	       9.799	
 6.062	     9.40905	
 6.188	       8.832	
 6.312	     8.17095	
 6.438	     7.66066	
 6.562	     7.29078	
 6.688	     7.01064	
 6.812	     6.77965	
 6.938	     6.53581	
 7.062	     6.27953	
 7.188	     6.10915	
 7.312	      5.9868	
 7.438	     5.71975	
 7.562	      5.3541	
 7.688	     5.11042	
 7.812	     4.98316	
 7.938	     4.80532	
 8.062	     4.57027	
 8.188	     4.42843	
 8.312	     4.37627	
 8.438	     4.26266	
 8.562	     4.09069	
 8.688	     3.93871	
 8.812	     3.80522	
 8.938	     3.64735	
 9.062	     3.46656	
 9.188	     3.36585	
 9.312	     3.34146	
 9.438	     3.29151	
 9.562	     3.21795	
 9.688	     3.17625	
 9.812	     3.12779	
 9.938	      3.0411	
  10.5	     21.5833	
  11.5	     17.8916	
  12.5	     14.3477	
  13.5	     11.5816	
  14.5	     10.0392	
  15.5	     8.99696	
  16.5	     6.16472	
  17.5	     4.55947	
  18.5	       3.005	
  19.5	     2.39745	
    25	     10.3311	
    35	     2.10624	
    45	     0.71716	
    55	    0.259843	
    65	   0.0775596	
    75	   0.0226022	
    85	           0	
    95	           0	
   105	           0	
----------------------
Total:	     8369.77	
